Symbol number
53046 396733
53098 397386
53151 400000
53203 400000
53257 397386
53309 400000
53362 397386
53414 395644
53467 400000
53519 397386
53571 394772
53623 397386
53676 397822
53731 400000
53785 397386
53832 397386
53885 400000
53936 396733
53989 397822
54006 386932
54042 400000
54097 392159
54150 397822
54203 397386
54255 400000
54307 394772
54360 400000
54412 394772
54464 395644
54515 400000
54568 394772
54620 394772
54672 392159
54725 397386
54777 400000
54829 397386
54882 397386
54934 400000
54986 397386
55006 393466
55039 396733
55090 400000
55143 392159
55194 394772
55247 397386
55299 394772
55351 397386
55404 400000
55455 397386
55508 397386
55560 397386
55612 400000
55668 395644
55720 386932
55772 394772
55826 400000
55876 392159
55929 400000
55981 400000
56006 395644
56033 400000
56085 397822
56138 397386
56190 397386
56242 389545
56294 389545
56346 397386
56398 394772
56451 397822
56503 400000
56555 400000
56607 397386
56664 400000
56712 400000
56765 393466
56816 389545
56868 400000
56920 394772
56972 392159
57007 400000
57024 400000
57077 400000
57128 397822
57181 400000
57233 400000
57286 400000
57338 386932
57390 386932
57442 400000
57496 397386
57546 397386
57598 400000
57651 397386
57703 400000
57755 400000
57808 400000
57863 392159
57912 392159
57964 392159
58007 393466
58016 400000
58068 397822
58121 397386
58173 394772
58228 397386
58278 400000
58331 400000
58382 392159
58435 394772
58486 389545
58539 397386
58591 400000
58643 400000
58695 397822
58748 397386
58800 397386
58852 397386
58904 400000
58957 397822
59007 384318
59060 400000
59113 400000
59165 400000
59217 400000
59269 400000
59321 394772
59373 400000
59430 397822
59480 390199
59531 397386
59582 395644
59635 397386
59687 397386
59739 400000
59797 400000
59844 400000
59896 391288
59948 400000
60000 397386
60007 386932
60054 396733
60106 394772
60160 400000
60212 395644
60265 397386
60317 400000
60369 400000
60421 400000
60473 397822
60525 400000
60577 394772
60631 394772
60682 400000
60734 397386
60787 394772
60838 397822
60891 400000
60946 400000
60998 397386
61007 400000
61048 396733
61100 400000
61153 397386
61205 397386
61257 397386
61309 397386
61361 400000
61413 400000
61466 400000
61517 394772
61570 400000
61622 400000
61675 397386
61729 394772
61779 394772
61832 394772
61883 400000
61935 400000
61987 400000
62007 400000
62040 386932
62097 400000
62145 400000
62196 397386
62250 397822
62301 394772
62354 400000
62406 392159
62464 397386
62510 397386
62564 397386
62616 400000
62668 400000
62720 397386
62773 400000
62828 400000
62877 400000
62929 400000
62981 400000
63007 400000
63034 393466
63086 400000
63139 400000
63190 400000
63242 400000
63297 400000
63346 400000
63399 400000
63451 400000
63504 400000
63556 400000
63608 400000
63661 400000
63714 400000
63766 397386
63818 400000
63870 400000
63922 400000
63975 400000
64007 400000
64027 400000
64079 400000
64132 400000
64184 400000
64236 400000
64289 400000
64341 400000
64393 400000
64445 400000
64497 400000
64549 400000
64602 400000
64654 400000
64706 400000
64758 400000
64811 400000
64865 400000
64915 400000
64967 400000
65007 400000
65019 400000
65072 400000
65124 400000
65176 400000
65228 400000
65280 400000
65333 400000
65385 400000
65437 400000
65489 400000
65542 400000
65597 400000
65646 400000
65698 400000
65750 400000
65802 400000
65854 400000
65907 400000
65958 400000
66008 400000
66063 400000
66115 400000
66167 400000
66219 400000
66272 400000
66328 400000
66377 400000
66428 400000
66480 400000
66532 400000
66584 400000
66637 400000
66689 400000
66742 400000
66797 400000
66850 400000
66902 400000
66954 400000
67006 400000
67064 400000
67111 400000
67164 400000
67215 400000
67268 400000
67319 400000
67372 400000
67424 400000
67477 400000
67531 400000
67581 400000
67633 400000
67685 400000
67738 400000
67790 400000
67844 400000
67894 400000
67946 400000
67999 400000
68008 400000
68051 400000
68102 400000
68154 400000
68206 400000
68259 400000
68311 400000
68363 400000
68415 400000
68467 400000
68519 400000
68571 400000
68623 400000
68675 400000
68727 400000
68780 400000
68831 400000
68884 400000
68936 400000
69014 400000
69056 400000
69108 400000
69161 400000
69213 400000
69265 400000
69317 400000
69369 400000
69422 400000
69473 400000
69525 400000
69577 400000
69630 400000
69683 400000
69733 400000
69786 400000
69838 400000
69890 400000
69942 400000
69994 400000
70014 400000
70046 400000
70098 400000
70150 400000
70202 400000
70254 400000
70306 400000
70358 400000
70410 400000
70462 400000
70514 400000
70566 400000
70619 400000
70671 400000
70723 400000
70775 400000
70827 400000
70879 400000
70931 400000
70983 400000
71014 400000
71035 400000
71087 400000
71139 400000
71191 400000
71243 400000
71295 400000
71347 400000
71401 400000
71452 397386
71504 400000
71556 400000
71608 400000
71660 400000
71712 400000
71764 400000
71816 400000
71868 400000
71920 400000
71973 400000
72014 400000
72024 400000
72076 400000
72129 400000
72181 400000
72233 400000
72285 400000
72337 400000
72389 400000
72441 400000
72493 400000
72545 400000
72597 400000
72649 400000
72701 400000
72753 400000
72805 400000
72857 400000
72909 400000
72961 400000
73013 400000
73065 400000
73117 400000
73170 400000
73223 400000
73275 400000
73327 400000
73379 400000
73431 400000
73483 400000
73535 400000
73587 400000
73639 400000
73691 400000
73743 400000
73796 400000
73848 400000
73900 400000
73952 400000
74004 400000
74014 400000
74056 400000
74108 400000
74160 400000
74213 400000
74265 400000
74317 400000
74369 400000
74421 400000
74474 400000
74526 400000
74578 400000
74630 400000
74682 400000
74734 400000
74786 400000
74838 400000
74890 400000
74942 400000
74994 400000
75014 400000
75046 400000
75098 400000
75151 400000
75202 400000
75255 400000
75307 400000
75359 400000
75411 400000
75468 400000
75515 400000
75567 400000
75619 400000
75671 400000
75723 400000
75779 400000
75831 400000
75883 397386
75935 400000
75987 400000
76014 400000
76039 400000
76094 400000
76146 400000
76199 400000
76253 400000
76305 400000
76357 400000
76409 400000
76461 400000
76513 400000
76565 400000
76617 400000
76669 400000
76722 400000
76774 400000
76826 400000
76878 400000
76930 400000
76982 400000
77014 400000
77034 400000
77086 400000
77138 400000
77190 400000
77242 400000
77294 400000
77347 400000
77399 400000
77452 400000
77504 400000
77556 400000
77608 400000
77660 400000
77714 400000
77766 400000
77818 400000
77870 400000
77922 400000
77974 400000
78014 400000
78026 400000
78090 400000
78142 400000
78194 400000
78246 400000
78298 400000
78350 400000
78402 400000
78454 400000
78507 400000
78558 400000
78611 400000
78663 400000
78715 400000
78770 400000
78822 400000
78875 400000
78927 400000
78979 400000
79014 400000
79031 400000
79083 400000
79135 400000
79187 400000
79239 400000
79291 400000
79343 400000
79395 400000
79447 400000
79500 400000
79552 397386
79604 400000
79656 400000
79708 400000
79760 400000
79812 400000
79864 400000
79916 400000
79968 400000
80014 400000
80020 400000
80073 400000
80125 400000
80177 400000
80229 400000
80281 400000
80333 400000
80385 400000
80437 400000
80490 400000
80542 400000
80594 400000
80646 400000
80698 400000
80750 400000
80802 400000
80855 400000
80907 400000
80958 400000
81011 400000
81063 400000
81115 400000
81167 400000
81219 400000
81271 400000
81323 400000
81375 400000
81427 400000
81479 400000
81531 400000
81583 400000
81635 400000
81688 400000
81740 400000
81792 400000
81844 400000
81896 400000
81950 400000
82000 400000
82015 400000
82052 400000
82104 400000
82156 400000
82208 400000
82260 400000
82312 400000
82366 400000
82418 400000
82470 400000
82522 400000
82574 400000
82626 400000
82678 400000
82730 400000
82782 400000
82835 400000
82887 400000
82939 400000
82991 400000
83015 400000
83043 400000
83095 400000
83147 400000
83199 400000
83252 400000
83304 400000
83356 400000
83408 400000
83461 400000
83512 400000
83622 400000
83651 391288
83703 400000
83755 397386
83807 400000
83859 400000
83911 400000
83964 400000
84015 400000
84068 400000
84119 400000
84172 400000
84223 400000
84278 400000
84329 400000
84380 400000
84432 400000
84486 400000
84536 400000
84589 400000
84641 400000
84694 400000
84745 400000
84797 400000
84849 400000
84901 400000
84953 400000
85005 400000
85015 400000
85057 400000
85109 400000
85161 400000
85213 400000
85265 400000
85317 400000
85369 400000
85422 400000
85474 400000
85526 400000
85578 400000
85630 400000
85682 400000
85734 400000
85786 400000
85838 400000
85890 400000
85942 400000
85994 400000
86015 400000
86047 400000
86099 400000
86151 400000
86203 400000
86255 400000
86307 400000
86359 400000
86411 400000
86463 400000
86515 400000
86567 400000
86620 400000
86672 400000
86724 400000
86776 400000
86828 400000
86880 400000
86932 400000
86984 400000
87015 400000
87037 400000
87089 400000
87141 400000
87193 400000
87246 400000
87298 400000
87351 400000
87403 400000
87455 400000
87507 400000
87559 400000
87612 400000
87663 400000
87716 400000
87769 400000
87820 400000
87872 400000
87925 400000
87977 400000
88015 400000
88030 400000
88081 400000
88134 400000
88186 400000
88238 400000
88291 397386
88343 400000
88396 400000
88448 400000
88500 400000
88552 400000
88604 400000
88657 400000
88709 400000
88761 400000
88813 400000
88868 397822
88920 400000
88972 400000
89015 400000
89024 400000
89076 397386
89129 397386
89181 400000
89234 400000
89286 400000
89339 397386
89390 394772
89442 400000
89495 400000
89547 400000
89599 395644
89652 397386
89703 400000
89756 400000
89808 397386
89860 400000
89912 397822
89964 400000
90016 397386
90077 400000
90122 396733
90175 400000
90226 400000
90278 400000
90331 400000
90383 400000
90435 400000
90487 395644
90543 400000
90595 400000
90648 397386
90700 400000
90752 400000
90804 400000
90856 400000
90908 400000
90961 400000
91013 400000
91066 397386
91118 400000
91170 400000
91222 400000
91274 400000
91326 400000
91379 400000
91431 400000
91484 400000
91535 400000
91588 397386
91640 400000
91692 400000
91744 400000
91797 400000
91849 400000
91901 397386
91954 400000
92005 400000
92016 400000
92057 400000
92110 393466
92162 400000
92214 400000
92266 400000
92318 400000
92370 400000
92423 400000
92475 397386
92528 400000
92580 397386
92632 394772
92684 393466
92736 400000
92789 400000
92840 400000
92892 400000
92945 400000
92997 400000
93016 400000
93049 400000
93101 400000
93154 397386
93208 392159
93258 400000
93310 400000
93363 400000
93414 400000
93467 400000
93519 400000
93571 400000
93623 400000
93676 397822
93728 397386
93780 389545
93832 394772
93884 400000
93937 400000
93989 400000
94016 400000
94041 400000
94093 400000
94145 400000
94197 400000
94250 397386
94302 393466
94354 392159
94407 400000
94458 400000
94511 394772
94563 400000
94615 400000
94668 397386
94720 400000
94774 400000
94824 397386
94879 395644
94928 394772
94981 392159
95016 395644
95033 400000
95085 392159
95137 400000
95189 400000
95241 382576
95294 386932
95348 394772
95398 392159
95451 389545
95503 400000
95555 400000
95610 400000
95659 400000
95714 400000
95764 400000
95816 392159
95868 394772
95921 384754
95976 394772
96016 396733
96025 400000
96077 394772
96129 400000
96181 400000
96234 400000
96286 400000
96338 400000
96390 392159
96442 394772
96494 394772
96546 379091
96599 394772
96651 394772
96711 393466
96756 400000
96807 397386
96860 397386
96913 397386
96965 397386
97016 400000
97069 386932
97121 394772
97173 392159
97225 400000
97278 400000
97330 400000
97382 397386
97435 400000
97486 400000
97538 400000
97591 393466
97643 392159
97695 397386
97748 394772
97800 397386
97852 400000
97904 400000
97956 400000
98008 394772
98016 400000
98061 400000
98113 394772
98165 392159
98217 397822
98270 394772
98321 400000
98373 400000
98426 400000
98478 400000
98531 400000
98583 400000
98635 400000
98687 394772
98742 394772
98791 394772
98844 397386
98896 400000
98949 400000
99001 400000
99016 400000
99053 400000
99105 400000
99157 400000
99210 397386
99262 400000
99314 394772
99366 400000
99418 396733
99476 400000
99523 400000
99575 400000
99627 400000
99680 400000
99732 397386
99784 400000
99836 400000
99888 394772
99940 400000
99993 397386
100017 400000
100045 400000
100097 400000
100149 400000
100201 400000
100253 397386
100306 400000
100358 394772
100410 400000
100463 400000
100514 397386
100567 397822
100619 400000
100676 400000
100723 400000
100775 400000
100829 397386
100881 400000
100933 394772
100985 400000
101017 400000
101043 395644
101089 400000
101141 400000
101194 400000
101246 400000
101298 400000
101350 397386
101402 400000
101454 397386
101506 397386
101560 400000
101612 397386
101663 400000
101716 400000
101768 400000
101820 400000
101872 395644
101924 400000
101977 400000
102017 390199
102029 400000
102081 397386
102133 397386
102186 400000
102239 400000
102292 400000
102344 397386
102396 397386
102448 400000
102500 400000
102553 394772
102610 397822
102657 396733
102709 400000
102762 397386
102814 400000
102866 400000
102919 397386
102977 397822
103017 400000
103075 394772
103128 395644
103179 397386
103236 400000
103289 394772
103340 397822
103393 400000
103445 394772
103497 400000
103549 400000
103601 394772
103654 394772
103705 397386
103758 397822
103810 397386
103863 397386
103915 400000
103967 394772
104017 397386
104071 400000
104124 394772
104178 400000
104228 394772
104280 397386
104333 400000
104384 400000
104437 400000
104489 394772
104543 397386
104593 400000
104646 394772
104698 400000
104750 394772
104802 397386
104854 400000
104906 400000
104958 400000
105011 395644
105063 397386
105115 400000
105167 400000
105220 392159
105276 393466
105324 394772
105376 400000
105429 400000
105481 400000
105533 394772
105586 395644
105642 400000
105690 400000
105742 394772
105795 400000
105847 389545
105899 395644
105952 400000
106004 400000
106017 400000
106057 400000
106110 392159
106160 397386
106213 400000
106265 394772
106318 400000
106369 392159
106422 397386
106474 392159
106526 400000
106579 400000
106631 397386
106684 394772
106735 400000
106787 392159
106844 400000
106895 389545
106948 400000
107000 397386
107017 393466
107052 386932
107104 400000
107156 397386
107209 393466
107261 400000
107313 394772
107365 400000
107418 400000
107475 397822
107522 400000
107574 392159
107626 394772
107679 400000
107731 397386
107783 400000
107835 394772
107887 400000
107939 400000
107992 397386
108017 400000
108044 400000
108100 391288
108148 394772
108200 397386
108253 397386
108305 400000
108357 400000
108409 394772
108461 400000
108514 397386
108566 400000
108618 397386
108670 397386
108723 397822
108775 397386
108827 397386
108879 397386
108931 397386
108984 400000
109017 400000
109036 400000
109088 397822
109140 400000
109193 394772
109245 400000
109297 400000
109349 397822
109401 394772
109454 397386
109506 400000
109559 400000
109611 397386
109663 400000
109716 394772
109768 400000
109820 400000
109874 397386
109925 400000
109977 393466
110017 400000
110030 400000
110082 400000
110134 397386
110187 400000
110238 397386
110290 397386
110342 400000
110394 397386
110447 400000
110499 394772
110551 397386
110603 400000
110656 397386
110708 400000
110760 397822
110813 397386
110865 400000
110917 397386
110969 400000
111018 394772
111022 400000
111073 400000
111126 397386
111178 397386
111230 400000
111282 397386
111335 397822
111387 400000
111439 397386
111492 400000
111543 394772
111597 397386
111648 400000
111700 397386
111752 400000
111805 394772
111857 400000
111909 400000
111962 397822
112014 400000
112066 394772
112118 397386
112172 397386
112224 397822
112276 400000
112328 397386
112381 400000
112433 400000
112485 400000
112538 400000
112590 395644
112644 397386
112694 397386
112746 397386
112799 400000
112851 397822
112903 400000
112956 400000
113008 400000
113018 400000
113060 400000
113112 397386
113165 397822
113217 397386
113269 397386
113321 400000
113373 397386
113425 400000
113477 400000
113529 400000
113582 400000
113634 394772
113686 397386
113743 395644
113790 397386
113843 400000
113895 400000
113947 397386
113999 400000
114018 400000
114051 400000
114103 400000
114156 400000
114208 394772
114261 394772
114313 397386
114365 400000
114418 397822
114470 397386
114522 400000
114574 400000
114626 400000
114679 400000
114731 397386
114783 394772
114835 397386
114888 400000
114940 400000
114992 397822
115018 400000
115044 400000
115097 400000
115149 400000
115201 400000
115253 393466
115306 400000
115357 397386
115410 400000
115462 400000
115514 397386
115566 400000
115619 400000
115671 400000
115728 400000
115775 397386
115827 394772
115879 397822
115931 397386
115984 400000
116018 395644
116036 400000
116088 400000
116140 400000
116193 400000
116245 400000
116297 397386
116349 394772
116401 400000
116454 397386
116506 400000
116558 397822
116611 400000
116663 400000
116715 400000
116767 400000
116819 397386
116872 395644
116924 397386
116977 400000
117018 393466
117029 400000
117082 400000
117133 397386
117185 400000
117237 400000
117290 400000
